Field1,Field2,Field3,Field4
13,-63.30433812,46.07370769,2023-05-23
14,-63.22574041,46.07389004,2023-05-23
14,-63.22596527,46.13028958,2023-05-23
14,-63.15129042,46.13041957,2023-05-23
14,-63.15114163,46.07401963,2023-05-23
14,-63.22574041,46.07389004,2023-05-23
15,-63.15114163,46.07401963,2023-05-23
15,-63.15129042,46.13041957,2023-05-23
15,-63.07261486,46.13049664,2023-05-23
15,-63.07254215,46.07409646,2023-05-23
15,-63.15114163,46.07401963,2023-05-23
16,-63.07254215,46.07409646,2023-05-23
16,-63.07261486,46.13049664,2023-05-23
16,-62.59393896,46.13052077,2023-05-23
16,-62.59394232,46.07412051,2023-05-23
16,-63.07254215,46.07409646,2023-05-23
17,-62.59394232,46.07412051,2023-05-23
17,-62.59393896,46.13052077,2023-05-23
17,-62.51526307,46.13049196,2023-05-23
17,-62.5153425,46.0740918,2023-05-23
17,-62.59394232,46.07412051,2023-05-23
18,-62.5153425,46.0740918,2023-05-23
18,-62.51526307,46.13049196,2023-05-23
18,-62.44058755,46.13041022,2023-05-23
18,-62.44074306,46.07401031,2023-05-23
18,-62.5153425,46.0740918,2023-05-23
19,-62.44074306,46.07401031,2023-05-23
19,-62.44058755,46.13041022,2023-05-23
19,-62.36191279,46.13027555,2023-05-23
19,-62.36214436,46.07387606,2023-05-23
19,-62.44074306,46.07401031,2023-05-23
20,-62.36214436,46.07387606,2023-05-23
20,-62.36191279,46.13027555,2023-05-23
20,-62.28323913,46.13008795,2023-05-23
20,-62.28354677,46.07368905,2023-05-23
20,-62.36214436,46.07387606,2023-05-23
21,-62.28354677,46.07368905,2023-05-23
21,-62.28323913,46.13008795,2023-05-23
21,-62.20456694,46.12584743,2023-05-23
21,-62.20495063,46.07344927,2023-05-23
21,-62.28354677,46.07368905,2023-05-23
22,-63.46198191,46.12558203,2023-05-23
22,-63.4624371,46.18197883,2023-05-23
22,-63.38369016,46.18226851,2023-05-23
22,-63.38331138,46.1258708,2023-05-23
22,-63.46198191,46.12558203,2023-05-23
23,-63.38331138,46.1258708,2023-05-23
23,-63.38369016,46.18226851,2023-05-23
23,-63.30494141,46.1825051,2023-05-23
23,-63.30463904,46.13010665,2023-05-23
23,-63.38331138,46.1258708,2023-05-23
24,-63.30463904,46.13010665,2023-05-23
24,-63.30494141,46.1825051,2023-05-23
24,-63.23019121,46.1826886,2023-05-23
24,-63.22596527,46.13028958,2023-05-23
24,-63.30463904,46.13010665,2023-05-23
25,-63.22596527,46.13028958,2023-05-23
25,-63.23019121,46.1826886,2023-05-23
25,-63.15143993,46.182819,2023-05-23
25,-63.15129042,46.13041957,2023-05-23
25,-63.22596527,46.13028958,2023-05-23
26,-63.15129042,46.13041957,2023-05-23
26,-63.15143993,46.182819,2023-05-23
26,-63.07268793,46.1828963,2023-05-23
26,-63.07261486,46.13049664,2023-05-23
26,-63.15129042,46.13041957,2023-05-23
27,-63.07261486,46.13049664,2023-05-23
27,-63.07268793,46.1828963,2023-05-23
27,-62.59393558,46.18292051,2023-05-23
27,-62.59393896,46.13052077,2023-05-23
27,-63.07261486,46.13049664,2023-05-23
28,-62.59393896,46.13052077,2023-05-23
28,-62.59393558,46.18292051,2023-05-23
28,-62.51518325,46.18289161,2023-05-23
28,-62.51526307,46.13049196,2023-05-23
28,-62.59393896,46.13052077,2023-05-23
29,-62.44058755,46.13041022,2023-05-23
29,-62.4404313,46.18280962,2023-05-23
29,-62.3616801,46.18267453,2023-05-23
29,-62.36191279,46.13027555,2023-05-23
29,-62.44058755,46.13041022,2023-05-23
30,-62.36191279,46.13027555,2023-05-23
30,-62.3616801,46.18267453,2023-05-23
30,-62.28293001,46.18248634,2023-05-23
30,-62.28323913,46.13008795,2023-05-23
30,-62.36191279,46.13027555,2023-05-23
31,-62.28323913,46.13008795,2023-05-23
31,-62.28293001,46.18248634,2023-05-23
31,-62.20418141,46.18224506,2023-05-23
31,-62.20456694,46.12584743,2023-05-23
31,-62.28323913,46.13008795,2023-05-23
32,-62.20456694,46.12584743,2023-05-23
32,-62.20418141,46.18224506,2023-05-23
32,-62.12543465,46.1819507,2023-05-23
32,-62.12589659,46.12555398,2023-05-23
32,-62.20456694,46.12584743,2023-05-23
33,-64.09466337,46.18079135,2023-05-23
33,-64.09535097,46.23318392,2023-05-23
33,-64.02053494,46.23363422,2023-05-23
33,-64.01592407,46.18124025,2023-05-23
33,-64.09466337,46.18079135,2023-05-23
34,-64.01592407,46.18124025,2023-05-23
34,-64.02053494,46.23363422,2023-05-23
34,-63.54171599,46.23403129,2023-05-23
34,-63.54118185,46.18163608,2023-05-23
34,-64.01592407,46.18124025,2023-05-23
35,-63.54118185,46.18163608,2023-05-23
35,-63.54171599,46.23403129,2023-05-23
35,-63.46289447,46.23437512,2023-05-23
35,-63.4624371,46.18197883,2023-05-23
35,-63.54118185,46.18163608,2023-05-23
36,-63.4624371,46.18197883,2023-05-23
36,-63.46289447,46.23437512,2023-05-23
36,-63.38407076,46.2346657,2023-05-23
36,-63.38369016,46.18226851,2023-05-23
36,-63.4624371,46.18197883,2023-05-23
37,-63.23019121,46.1826886,2023-05-23
37,-63.23041823,46.2350871,2023-05-23
37,-63.15159015,46.23521791,2023-05-23
37,-63.15143993,46.182819,2023-05-23
37,-63.23019121,46.1826886,2023-05-23
38,-63.15143993,46.182819,2023-05-23
38,-63.15159015,46.23521791,2023-05-23
38,-63.07276134,46.23529546,2023-05-23
38,-63.07268793,46.1828963,2023-05-23
38,-63.15143993,46.182819,2023-05-23
39,-63.07268793,46.1828963,2023-05-23
39,-63.07276134,46.23529546,2023-05-23
39,-62.59393219,46.23531974,2023-05-23
39,-62.59393558,46.18292051,2023-05-23
39,-63.07268793,46.1828963,2023-05-23
40,-62.59393558,46.18292051,2023-05-23
40,-62.59393219,46.23531974,2023-05-23
40,-62.51510305,46.23529075,2023-05-23
40,-62.51518325,46.18289161,2023-05-23
40,-62.59393558,46.18292051,2023-05-23
41,-62.51518325,46.18289161,2023-05-23
41,-62.51510305,46.23529075,2023-05-23
41,-62.4402743,46.2352085,2023-05-23
41,-62.4404313,46.18280962,2023-05-23
41,-62.51518325,46.18289161,2023-05-23
42,-62.4404313,46.18280962,2023-05-23
42,-62.4402743,46.2352085,2023-05-23
42,-62.3614463,46.23507299,2023-05-23
42,-62.3616801,46.18267453,2023-05-23
42,-62.4404313,46.18280962,2023-05-23
43,-62.3616801,46.18267453,2023-05-23
43,-62.3614463,46.23507299,2023-05-23
43,-62.28261942,46.23488421,2023-05-23
43,-62.28293001,46.18248634,2023-05-23
43,-62.3616801,46.18267453,2023-05-23
44,-62.28293001,46.18248634,2023-05-23
44,-62.28261942,46.23488421,2023-05-23
44,-62.20379403,46.23464218,2023-05-23
44,-62.20418141,46.18224506,2023-05-23
44,-62.28293001,46.18248634,2023-05-23
45,-62.20418141,46.18224506,2023-05-23
45,-62.20379403,46.23464218,2023-05-23
45,-62.1249705,46.2343469,2023-05-23
45,-62.12543465,46.1819507,2023-05-23
45,-62.20418141,46.18224506,2023-05-23
46,-62.12543465,46.1819507,2023-05-23
46,-62.1249705,46.2343469,2023-05-23
46,-62.05014919,46.23399836,2023-05-23
46,-62.0506901,46.18160326,2023-05-23
46,-62.12543465,46.1819507,2023-05-23
47,-62.0506901,46.18160326,2023-05-23
47,-62.05014919,46.23399836,2023-05-23
47,-61.57133048,46.23359659,2023-05-23
47,-61.57194813,46.18120274,2023-05-23
47,-62.0506901,46.18160326,2023-05-23
48,-64.09535097,46.23318392,2023-05-23
48,-64.10004188,46.28557595,2023-05-23
48,-64.02114875,46.29002766,2023-05-23
48,-64.02053494,46.23363422,2023-05-23
48,-64.09535097,46.23318392,2023-05-23
49,-64.02053494,46.23363422,2023-05-23
49,-64.02114875,46.29002766,2023-05-23
49,-63.54225268,46.29042597,2023-05-23
49,-63.54171599,46.23403129,2023-05-23
49,-64.02053494,46.23363422,2023-05-23
50,-63.54171599,46.23403129,2023-05-23
50,-63.54225268,46.29042597,2023-05-23
50,-63.46335403,46.29077088,2023-05-23
50,-63.46289447,46.23437512,2023-05-23
50,-63.54171599,46.23403129,2023-05-23
51,-63.46289447,46.23437512,2023-05-23
51,-63.46335403,46.29077088,2023-05-23
51,-63.38445318,46.29106237,2023-05-23
51,-63.38407076,46.2346657,2023-05-23
51,-63.46289447,46.23437512,2023-05-23
52,-63.38407076,46.2346657,2023-05-23
52,-63.38445318,46.29106237,2023-05-23
52,-63.30555049,46.29130044,2023-05-23
52,-63.30524522,46.23490303,2023-05-23
52,-63.38407076,46.2346657,2023-05-23
53,-63.30524522,46.23490303,2023-05-23
53,-63.30555049,46.29130044,2023-05-23
53,-63.23064634,46.29148509,2023-05-23
53,-63.23041823,46.2350871,2023-05-23
53,-63.30524522,46.23490303,2023-05-23
54,-63.23041823,46.2350871,2023-05-23
54,-63.23064634,46.29148509,2023-05-23
54,-63.15174109,46.29161631,2023-05-23
54,-63.15159015,46.23521791,2023-05-23
54,-63.23041823,46.2350871,2023-05-23
55,-63.15159015,46.23521791,2023-05-23
55,-63.15174109,46.29161631,2023-05-23
55,-63.07283511,46.2916941,2023-05-23
55,-63.07276134,46.23529546,2023-05-23
55,-63.15159015,46.23521791,2023-05-23
56,-63.07276134,46.23529546,2023-05-23
56,-63.07283511,46.2916941,2023-05-23
56,-62.59392878,46.29171846,2023-05-23
56,-62.59393219,46.23531974,2023-05-23
56,-63.07276134,46.23529546,2023-05-23
57,-62.59393219,46.23531974,2023-05-23
57,-62.59392878,46.29171846,2023-05-23
57,-62.51502247,46.29168938,2023-05-23
57,-62.51510305,46.23529075,2023-05-23
57,-62.59393219,46.23531974,2023-05-23
58,-62.51510305,46.23529075,2023-05-23
58,-62.51502247,46.29168938,2023-05-23
58,-62.44011654,46.29160687,2023-05-23
58,-62.4402743,46.2352085,2023-05-23
58,-62.51510305,46.23529075,2023-05-23
59,-62.4402743,46.2352085,2023-05-23
59,-62.44011654,46.29160687,2023-05-23
59,-62.36121138,46.29147093,2023-05-23
59,-62.3614463,46.23507299,2023-05-23
59,-62.4402743,46.2352085,2023-05-23
60,-62.3614463,46.23507299,2023-05-23
60,-62.36121138,46.29147093,2023-05-23
60,-62.28230734,46.29128157,2023-05-23
60,-62.28261942,46.23488421,2023-05-23
60,-62.3614463,46.23507299,2023-05-23
61,-62.28261942,46.23488421,2023-05-23
61,-62.28230734,46.29128157,2023-05-23
61,-62.20340479,46.29103878,2023-05-23
61,-62.20379403,46.23464218,2023-05-23
61,-62.28261942,46.23488421,2023-05-23
62,-62.20379403,46.23464218,2023-05-23
62,-62.20340479,46.29103878,2023-05-23
62,-62.12450412,46.29074257,2023-05-23
62,-62.1249705,46.2343469,2023-05-23
62,-62.20379403,46.23464218,2023-05-23
63,-62.1249705,46.2343469,2023-05-23
63,-62.12450412,46.29074257,2023-05-23
63,-62.04560569,46.29039295,2023-05-23
63,-62.05014919,46.23399836,2023-05-23
63,-62.1249705,46.2343469,2023-05-23
64,-62.05014919,46.23399836,2023-05-23
64,-62.04560569,46.29039295,2023-05-23
64,-61.57070986,46.28598992,2023-05-23
64,-61.57133048,46.23359659,2023-05-23
64,-62.05014919,46.23399836,2023-05-23
65,-64.10004188,46.28557595,2023-05-23
65,-64.10073609,46.34196745,2023-05-23
65,-64.0217655,46.34242058,2023-05-23
65,-64.02114875,46.29002766,2023-05-23
65,-64.10004188,46.28557595,2023-05-23
66,-64.02114875,46.29002766,2023-05-23
66,-64.0217655,46.34242058,2023-05-23
66,-63.54279195,46.34282013,2023-05-23
66,-63.54225268,46.29042597,2023-05-23
66,-64.02114875,46.29002766,2023-05-23
67,-63.54225268,46.29042597,2023-05-23
67,-63.54279195,46.34282013,2023-05-23
67,-63.4638158,46.34316612,2023-05-23
67,-63.46335403,46.29077088,2023-05-23
67,-63.54225268,46.29042597,2023-05-23
68,-63.46335403,46.29077088,2023-05-23
68,-63.4638158,46.34316612,2023-05-23
68,-63.38483744,46.34345852,2023-05-23
68,-63.38445318,46.29106237,2023-05-23
68,-63.46335403,46.29077088,2023-05-23
69,-63.38445318,46.29106237,2023-05-23
69,-63.38483744,46.34345852,2023-05-23
69,-63.30585722,46.34369734,2023-05-23
69,-63.30555049,46.29130044,2023-05-23
69,-63.38445318,46.29106237,2023-05-23
70,-63.30555049,46.29130044,2023-05-23
70,-63.30585722,46.34369734,2023-05-23
70,-63.23087554,46.34388256,2023-05-23
70,-63.23064634,46.29148509,2023-05-23
70,-63.30555049,46.29130044,2023-05-23
71,-63.23064634,46.29148509,2023-05-23
71,-63.23087554,46.34388256,2023-05-23
71,-63.15189275,46.34401419,2023-05-23
71,-63.15174109,46.29161631,2023-05-23
71,-63.23064634,46.29148509,2023-05-23
72,-62.12450412,46.29074257,2023-05-23
72,-62.12403551,46.34313772,2023-05-23
72,-62.04505957,46.342787,2023-05-23
72,-62.04560569,46.29039295,2023-05-23
72,-62.12450412,46.29074257,2023-05-23
73,-64.2546669,46.34090055,2023-05-23
73,-64.25552006,46.39328818,2023-05-23
73,-64.18047872,46.39385016,2023-05-23
73,-64.17570335,46.34146077,2023-05-23
73,-64.2546669,46.34090055,2023-05-23
74,-64.17570335,46.34146077,2023-05-23
74,-64.18047872,46.39385016,2023-05-23
74,-64.10143365,46.39435842,2023-05-23
74,-64.10073609,46.34196745,2023-05-23
74,-64.17570335,46.34146077,2023-05-23
75,-64.10073609,46.34196745,2023-05-23
75,-64.10143365,46.39435842,2023-05-23
75,-64.02238522,46.39481296,2023-05-23
75,-64.0217655,46.34242058,2023-05-23
75,-64.10073609,46.34196745,2023-05-23
76,-64.0217655,46.34242058,2023-05-23
76,-64.02238522,46.39481296,2023-05-23
76,-63.54333381,46.39521377,2023-05-23
76,-63.54279195,46.34282013,2023-05-23
76,-64.0217655,46.34242058,2023-05-23
77,-63.54279195,46.34282013,2023-05-23
77,-63.54333381,46.39521377,2023-05-23
77,-63.46427979,46.39556084,2023-05-23
77,-63.4638158,46.34316612,2023-05-23
77,-63.54279195,46.34282013,2023-05-23
78,-63.4638158,46.34316612,2023-05-23
78,-63.46427979,46.39556084,2023-05-23
78,-63.38522354,46.39585415,2023-05-23
78,-63.38483744,46.34345852,2023-05-23
78,-63.4638158,46.34316612,2023-05-23
79,-64.25552006,46.39328818,2023-05-23
79,-64.26037734,46.44567526,2023-05-23
79,-64.18125783,46.450239,2023-05-23
79,-64.18047872,46.39385016,2023-05-23
79,-64.25552006,46.39328818,2023-05-23
80,-64.18047872,46.39385016,2023-05-23
80,-64.18125783,46.450239,2023-05-23
80,-64.10213456,46.45074885,2023-05-23
80,-64.10143365,46.39435842,2023-05-23
80,-64.18047872,46.39385016,2023-05-23
81,-64.10143365,46.39435842,2023-05-23
81,-64.10213456,46.45074885,2023-05-23
81,-64.02300792,46.45120482,2023-05-23
81,-64.02238522,46.39481296,2023-05-23
81,-64.10143365,46.39435842,2023-05-23
82,-64.02238522,46.39481296,2023-05-23
82,-64.02300792,46.45120482,2023-05-23
82,-63.54387828,46.45160688,2023-05-23
82,-63.54333381,46.39521377,2023-05-23
82,-64.02238522,46.39481296,2023-05-23
83,-63.54333381,46.39521377,2023-05-23
83,-63.54387828,46.45160688,2023-05-23
83,-63.46474601,46.45195503,2023-05-23
83,-63.46427979,46.39556084,2023-05-23
83,-63.54333381,46.39521377,2023-05-23
84,-64.26037734,46.44567526,2023-05-23
84,-64.26123874,46.5020618,2023-05-23
84,-64.18204068,46.5026273,2023-05-23
84,-64.18125783,46.450239,2023-05-23
84,-64.26037734,46.44567526,2023-05-23
85,-64.18125783,46.450239,2023-05-23
85,-64.18204068,46.5026273,2023-05-23
85,-64.10283885,46.50313875,2023-05-23
85,-64.10213456,46.45074885,2023-05-23
85,-64.18125783,46.450239,2023-05-23
86,-64.10213456,46.45074885,2023-05-23
86,-64.10283885,46.50313875,2023-05-23
86,-64.02363362,46.50359614,2023-05-23
86,-64.02300792,46.45120482,2023-05-23
86,-64.10213456,46.45074885,2023-05-23
87,-64.02300792,46.45120482,2023-05-23
87,-64.02363362,46.50359614,2023-05-23
87,-63.54442537,46.50399946,2023-05-23
87,-63.54387828,46.45160688,2023-05-23
87,-64.02300792,46.45120482,2023-05-23
88,-64.18204068,46.5026273,2023-05-23
88,-64.18282731,46.55501506,2023-05-23
88,-64.10354653,46.55552812,2023-05-23
88,-64.10283885,46.50313875,2023-05-23
88,-64.18204068,46.5026273,2023-05-23
89,-64.10283885,46.50313875,2023-05-23
89,-64.10354653,46.55552812,2023-05-23
89,-64.02426233,46.55598694,2023-05-23
89,-64.02363362,46.50359614,2023-05-23
89,-64.10283885,46.50313875,2023-05-23
90,-64.02363362,46.50359614,2023-05-23
90,-64.02426233,46.55598694,2023-05-23
90,-63.5449751,46.56039152,2023-05-23
90,-63.54442537,46.50399946,2023-05-23
90,-64.02363362,46.50359614,2023-05-23
91,-64.18282731,46.55501506,2023-05-23
91,-64.18361774,47.01140229,2023-05-23
91,-64.10425763,47.01191694,2023-05-23
91,-64.10354653,46.55552812,2023-05-23
91,-64.18282731,46.55501506,2023-05-23
92,-64.10354653,46.55552812,2023-05-23
92,-64.10425763,47.01191694,2023-05-23
92,-64.02489409,47.01237721,2023-05-23
92,-64.02426233,46.55598694,2023-05-23
92,-64.10354653,46.55552812,2023-05-23
93,-64.02426233,46.55598694,2023-05-23
93,-64.02489409,47.01237721,2023-05-23
93,-63.54552749,47.01278306,2023-05-23
93,-63.5449751,46.56039152,2023-05-23
93,-64.02426233,46.55598694,2023-05-23
94,-64.02489409,47.01237721,2023-05-23
94,-64.02552889,47.06476694,2023-05-23
94,-63.55008254,47.06517407,2023-05-23
94,-63.54552749,47.01278306,2023-05-23
94,-64.02489409,47.01237721,2023-05-23
